sigma,topology,n_cows,trial,mean_transitions_e,mean_transitions_r,mean_time_e,mean_time_r,prop_e,prop_r,prop_s
0.0,full,2,0,376.5,377.0,67.98181818181818,68.0,0.3201333333333334,0.27216666666666667,0.4077
0.0,full,2,1,376.5,376.5,68.0,68.0,0.3204166666666667,0.2718,0.40778333333333333
0.0,full,2,2,376.5,377.0,68.0,68.0,0.3202333333333333,0.2719,0.40786666666666666
0.0,full,2,3,376.0,377.0,68.01366742596811,68.0,0.3201333333333333,0.2722,0.4076666666666667
0.0,full,2,4,376.0,377.0,68.0113895216401,68.0,0.31875,0.2718833333333333,0.40936666666666666
0.0,full,2,5,376.5,377.5,68.02050113895217,68.0,0.3201333333333333,0.2722833333333333,0.40758333333333335
0.0,full,2,6,376.5,376.5,68.03863636363636,68.0,0.3201833333333334,0.2718,0.4080166666666667
0.0,full,2,7,377.0,378.0,68.04545454545455,67.98412698412699,0.31886666666666663,0.2722833333333333,0.40885
0.0,full,2,8,376.5,377.0,68.03181818181818,68.0,0.32028333333333336,0.2722,0.40751666666666664
0.0,full,2,9,377.0,378.0,68.03181818181818,67.9546485260771,0.3202,0.2723833333333333,0.40741666666666665
0.0,full,2,10,376.5,377.0,68.03863636363636,68.0,0.3203666666666667,0.2722,0.4074333333333333
0.0,full,2,11,377.0,377.5,68.03863636363636,68.0,0.32038333333333335,0.27203333333333335,0.4075833333333333
0.0,full,2,12,377.0,377.0,68.0,68.0,0.32030000000000003,0.272,0.40769999999999995
0.0,full,2,13,377.0,377.0,68.03863636363636,68.0,0.3201833333333334,0.27208333333333334,0.40773333333333334
0.0,full,2,14,376.5,377.0,68.00681818181818,68.0,0.32016666666666665,0.27216666666666667,0.4076666666666667
0.0,full,2,15,377.0,377.5,68.04545454545455,68.0,0.319,0.27203333333333335,0.4089666666666667
0.0,full,2,16,377.0,377.5,67.97732426303855,67.89342403628117,0.3203,0.27208333333333334,0.4076166666666667
0.0,full,2,17,376.0,377.0,68.0113895216401,68.0,0.3187,0.27215,0.40915
0.0,full,2,18,376.5,377.5,68.0,67.93877551020408,0.32025000000000003,0.27208333333333334,0.4076666666666667
0.0,full,2,19,376.5,377.0,68.02272727272727,68.0,0.3188,0.2722,0.40900000000000003
0.0,full,2,20,376.5,377.0,68.0,68.0,0.32028333333333336,0.2722,0.40751666666666664
0.0,full,2,21,377.0,378.0,68.03181818181818,67.9546485260771,0.32016666666666665,0.27251666666666663,0.40731666666666666
0.0,full,2,22,376.5,377.0,68.05681818181819,68.0,0.31898333333333334,0.27203333333333335,0.4089833333333333
0.0,full,2,23,376.5,377.0,68.03181818181818,68.0,0.32025000000000003,0.2722,0.40754999999999997
0.0,full,2,24,376.5,377.5,68.0,67.93877551020408,0.32006666666666667,0.2724,0.4075333333333333
0.0,full,2,25,376.0,376.5,68.04555808656036,68.0,0.32008333333333333,0.2718,0.4081166666666667
0.0,full,2,26,377.0,377.5,68.0,68.0,0.32028333333333336,0.27203333333333335,0.4076833333333333
0.0,full,2,27,376.5,377.0,68.00681818181818,68.0,0.3202166666666667,0.2722,0.4075833333333333
0.0,full,2,28,376.5,377.5,68.0,67.92290249433107,0.32015,0.27235,0.4075
0.0,full,2,29,377.0,377.0,67.97052154195012,67.87755102040816,0.31889999999999996,0.2718666666666667,0.40923333333333334
0.0,full,2,30,376.5,377.5,68.04545454545455,67.98412698412699,0.31876666666666664,0.2723333333333333,0.4089
0.0,full,2,31,376.5,377.5,68.0,67.93877551020408,0.31998333333333334,0.27231666666666665,0.4077
