sigma,topology,n_cows,trial,mean_transitions_e,mean_transitions_r,mean_time_e,mean_time_r,prop_e,prop_r,prop_s
0.0,full,2,31,395.0,394.0,78.98944591029024,78.98941798941799,0.34541666666666665,0.27393333333333336,0.38065
0.0,full,2,32,385.0,385.0,71.05463182897863,71.00950118764845,0.30865,0.27531666666666665,0.4160333333333333
0.0,full,2,33,378.0,377.5,76.0,75.9796437659033,0.33385,0.23526666666666668,0.43088333333333334
0.0,full,2,34,387.5,387.0,76.00763358778626,76.0,0.32255,0.2969,0.38055
0.0,full,2,35,384.0,384.0,85.10826210826211,85.01139601139602,0.31533333333333335,0.29441666666666666,0.39025
0.0,full,2,36,390.5,390.5,82.0934065934066,82.0,0.30595,0.29938333333333333,0.39466666666666667
0.0,full,2,37,411.0,410.5,71.06888361045131,71.0,0.32965,0.30141666666666667,0.36893333333333334
0.0,full,2,38,382.5,381.5,79.0,78.97619047619048,0.35688333333333333,0.23495,0.4081666666666667
0.0,full,2,39,377.5,377.0,78.0,78.0,0.32943333333333336,0.28913333333333335,0.3814333333333333
0.0,full,2,40,372.0,371.5,73.07073170731708,73.0,0.29961666666666664,0.27623333333333333,0.42415
0.0,full,2,41,365.5,365.5,83.0,83.0,0.34785,0.25685,0.3953
0.0,full,2,42,401.0,400.5,77.09278350515464,77.0,0.32686666666666664,0.24880000000000002,0.42433333333333334
0.0,full,2,43,368.5,368.0,80.85945945945946,80.77837837837838,0.29355,0.2770666666666667,0.42938333333333334
0.0,full,2,44,379.0,378.5,73.9950495049505,73.91831683168317,0.2834333333333333,0.28328333333333333,0.43328333333333335
0.0,full,2,45,347.0,346.0,84.09831460674157,84.0,0.3178833333333333,0.24813333333333332,0.43398333333333333
0.0,full,2,46,385.0,384.0,80.08823529411765,80.0,0.33599999999999997,0.28126666666666666,0.3827333333333333
0.0,full,2,47,414.5,414.0,72.06024096385542,72.0,0.3486,0.26721666666666666,0.3841833333333333
0.0,full,2,48,400.0,399.5,74.07425742574257,74.0,0.33353333333333335,0.2865333333333333,0.37993333333333335
0.0,full,2,49,397.5,397.5,83.06666666666666,83.0,0.31655,0.2890666666666667,0.3943833333333333
0.0010204081632653062,full,2,0,391.5,391.0,79.00791556728232,79.01058201058201,0.3702833333333333,0.2818666666666667,0.34785
0.0010204081632653062,full,2,1,395.0,394.5,71.11163895486936,71.07619047619048,0.30766666666666664,0.27964999999999995,0.4126833333333333
0.0010204081632653062,full,2,2,366.0,365.5,94.15094339622641,94.15141955835962,0.3301,0.2771166666666667,0.3927833333333334
0.0010204081632653062,full,2,3,385.5,385.0,76.0,75.94656488549619,0.3224166666666667,0.28491666666666665,0.39266666666666666
0.0010204081632653062,full,2,4,410.0,410.0,77.9140625,77.82291666666667,0.3163666666666667,0.2836333333333333,0.4
0.0010204081632653062,full,2,5,394.5,393.5,76.01776649746193,76.0,0.32205,0.28646666666666665,0.3914833333333333
0.0010204081632653062,full,2,6,405.0,405.0,74.08415841584159,74.0,0.3129833333333333,0.2967666666666666,0.39025
0.0010204081632653062,full,2,7,408.0,407.5,74.07920792079207,74.00990099009901,0.30515000000000003,0.31575,0.3791
0.0010204081632653062,full,2,8,389.5,388.5,80.00802139037434,79.99195710455764,0.35685,0.27288333333333337,0.37026666666666663
0.0010204081632653062,full,2,9,409.5,409.0,71.08076009501188,71.0190023752969,0.31394999999999995,0.29381666666666667,0.3922333333333333
0.0010204081632653062,full,2,10,379.0,378.5,74.06683168316832,74.0,0.33901666666666663,0.2531,0.4078833333333334
0.0010204081632653062,full,2,11,410.5,410.0,73.0780487804878,73.0,0.3576166666666667,0.2939333333333333,0.34845000000000004
0.0010204081632653062,full,2,12,387.0,386.0,76.96143958868895,76.95618556701031,0.34863333333333335,0.27566666666666667,0.37570000000000003
0.0010204081632653062,full,2,13,384.5,384.0,78.0,77.9817232375979,0.37401666666666666,0.2612333333333333,0.36475
0.0010204081632653062,full,2,14,397.0,397.0,71.39140811455847,71.31980906921241,0.32023333333333337,0.26780000000000004,0.41196666666666665
0.0010204081632653062,full,2,15,359.5,358.5,85.09375,85.0,0.33025000000000004,0.2615,0.40825
0.0010204081632653062,full,2,16,410.5,410.0,73.00243902439024,73.0,0.34958333333333336,0.29113333333333336,0.3592833333333333
0.0010204081632653062,full,2,17,389.0,389.0,77.02319587628865,77.01804123711341,0.31956666666666667,0.27695000000000003,0.4034833333333333
0.0010204081632653062,full,2,18,363.5,363.0,90.0,90.0,0.3269666666666666,0.2728333333333333,0.4002
0.0010204081632653062,full,2,19,388.5,388.5,83.11944444444444,83.02222222222223,0.32531666666666664,0.28478333333333333,0.3899
0.0010204081632653062,full,2,20,408.0,407.5,70.30516431924883,70.26823529411764,0.3604833333333334,0.28431666666666666,0.35519999999999996
0.0010204081632653062,full,2,21,408.0,407.5,76.1119592875318,76.05089058524173,0.31548333333333334,0.28545,0.3990666666666667
0.0010204081632653062,full,2,22,388.0,387.5,69.8714953271028,69.84345794392523,0.30593333333333333,0.2809,0.4131666666666667
0.0010204081632653062,full,2,23,392.0,392.0,82.75069252077563,82.75346260387812,0.3469,0.27290000000000003,0.3802
0.0010204081632653062,full,2,24,375.5,374.5,80.04812834224599,80.04021447721179,0.33985,0.2734333333333333,0.3867166666666667
0.0010204081632653062,full,2,25,403.5,403.0,77.60621761658031,77.6025974025974,0.35846666666666666,0.2922,0.34933333333333333
0.0010204081632653062,full,2,26,357.5,357.0,82.16483516483517,82.08791208791209,0.2967666666666667,0.2581333333333333,0.4451
0.0010204081632653062,full,2,27,358.5,358.0,82.0989010989011,82.0,0.30071666666666663,0.25083333333333335,0.44845
0.0010204081632653062,full,2,28,383.5,383.5,76.30102040816327,76.23469387755102,0.29418333333333335,0.301,0.40481666666666666
0.0010204081632653062,full,2,29,400.0,399.0,75.09774436090225,75.02010050251256,0.33681666666666665,0.28378333333333333,0.3794
0.0010204081632653062,full,2,30,347.5,346.5,89.76876876876877,89.75903614457832,0.28769999999999996,0.24283333333333332,0.46946666666666664
